player_id,player_name,team_name,role,position,all,win,loss
84772440,iceiceice,Evil Geniuses,Core,Off,10.3533456598864,11.2054252291071,8.86220641375
86745912,Arteezy,Evil Geniuses,Core,Carry,16.3415965210227,17.6369862780357,14.07466444625
154715080,Abed,Evil Geniuses,Mid,Mid,16.5881018304545,17.60372171375,14.8107670346875
25907144,Cr1t-,Evil Geniuses,Support,Soft Support,12.7175858307955,13.9060368275,10.6377965865625
94155156,Fly,Evil Geniuses,Support,Hard Support,13.2453175003409,13.1912777169643,13.33988712125
118134220,Faith_bian,PSG.LGD,Core,Off,11.4492910081875,12.259831905516,9.63522328559524
898754153,Ame,PSG.LGD,Core,Carry,14.8959105759926,16.3436581149468,11.6557137030952
173978074,NothingToSay,PSG.LGD,Mid,Mid,16.0387548860562,17.18024728125,13.2665590691571
111114687,y`,PSG.LGD,Support,Hard Support,15.054581366875,15.326886371383,14.4451368329762
157475523,XinQ,PSG.LGD,Support,Soft Support,13.3534395588971,13.9474711710638,12.0239402364286
56351509,DM,Virtus.pro,Core,Off,10.2945051912745,11.0854135176389,8.396325208
124801257,Nightfall,Virtus.pro,Core,Carry,15.3708883757843,16.8365972765278,11.853187014
480412663,gpk~,Virtus.pro,Mid,Mid,16.9307785368627,18.7424201977778,12.5828385506667
187758589,Kingslayer,Virtus.pro,Support,Hard Support,13.7932691531373,14.2966044075,12.5852645426667
317880638,Save-,Virtus.pro,Support,Soft Support,13.0312852545098,13.6218477769444,11.6139352006667
87063175,LESLÃO,Quincy Crew,Core,Off,10.837269694375,12.190440916,8.581984325
108452107,YS,Quincy Crew,Core,Carry,15.4489662407812,17.52511335775,11.9887210458333
221666230,Quinn,Quincy Crew,Mid,Mid,15.98348605125,17.251907226,13.86945076
47434686,LoA,Quincy Crew,Support,Hard Support,14.884740131875,14.564986688,15.4176625383333
86726887,MSS,Quincy Crew,Support,Soft Support,12.3565233926562,13.30972755275,10.7678497925
138857296,JT-,INVICTUS GAMING,Core,Off,10.6754147104144,12.2184070122632,9.04670061401852
168028715,flyfly,INVICTUS GAMING,Core,Carry,12.6626679390766,15.9736788936842,9.16771193143519
202217968,Emo,INVICTUS GAMING,Mid,Mid,16.3108896728378,19.4452168655263,13.0024331916667
101259972,Oli~,INVICTUS GAMING,Support,Hard Support,12.53515389065,13.835574347549,11.1816550477551
139876032,kaka,INVICTUS GAMING,Support,Soft Support,13.9607330469369,14.89417655,12.9754315714815
184950344,Ku,T1,Core,Off,10.7775537472541,12.19910461423,8.9159990405
375507918,23,T1,Core,Carry,15.8660765231443,18.4186421264545,12.5234310902381
94281932,Karl,T1,Mid,Mid,16.8943458329381,18.4255832740909,14.8891539457143
121404228,Xepher,T1,Support,Soft Support,11.5739975166495,12.6637640181818,10.1469223360714
136829091,Whitemon,T1,Support,Hard Support,15.4283299118557,16.3544304567273,14.2155791983333
134276083,old eLeVeN,Vici Gaming,Core,Off,10.8247683015,12.1169033121429,8.88656578553571
277141004,poyoyo,Vici Gaming,Core,Carry,13.4092713945143,15.9384419000833,9.61551563616071
107803494,Ori,Vici Gaming,Mid,Mid,16.0591708168214,18.3053221685119,12.6899437892857
138543123,Pyw,Vici Gaming,Support,Soft Support,14.5496159390714,15.7128208305952,12.8048086017857
143693439,Dy,Vici Gaming,Support,Hard Support,14.095805159275,14.900594193631,12.8886216077411
72312627,MATUMBAMAN,Team Secret,Core,Carry,13.7053673917188,16.8736671464286,11.2411342491667
73562326,zai,Team Secret,Core,Off,9.98386551625,11.5367070285714,8.77609989555556
121769650,Nisha,Team Secret,Mid,Mid,15.7321053439062,20.6096480860714,11.9384609888889
87278757,Puppey,Team Secret,Support,Hard Support,12.544770570625,13.7863283110714,11.5791145502778
89117038,YapzOr,Team Secret,Support,Soft Support,15.3311240090625,16.0514995271429,14.7708319394444
129958758,Xxs,Team Aster,Core,Off,10.7893218178218,11.9006780365833,9.16294686353659
148215639,Monet,Team Aster,Core,Carry,15.1254790208911,17.672534683,11.3980804909756
373520478,White Album,Team Aster,Mid,Mid,15.1543719027723,16.6576560113333,12.9544439390244
89423756,LaNm,Team Aster,Support,Hard Support,14.612173062302,15.3881108795417,13.4766543053659
207829314,Borax,Team Aster,Support,Soft Support,12.0966053986337,13.3464970185333,10.2674957109756
41231571,s4,Alliance,Core,Off,10.1991651007,11.7256009248214,8.25642859727273
412753955,Nikobaby,Alliance,Core,Carry,15.0350508233,17.4136584867857,12.0077319788636
12231202,LIMMP,Alliance,Mid,Mid,16.5122605426,17.7881472325,14.8884047554545
18180970,Handsken,Alliance,Support,Soft Support,13.6988763814,13.9426435892857,13.3886272077273
94049589,Fng,Alliance,Support,Hard Support,15.11647569077,16.4855802882143,13.3739789303864
164685175,k1,beastcoast,Core,Carry,13.7042887025962,17.3406160932692,10.0679613119231
292921272,Wisper,beastcoast,Core,Off,11.1118326605234,13.0895772693333,9.36676388804412
153836240,Chris luck,beastcoast,Mid,Mid,15.2062543580328,17.4445337706667,13.0401775070968
119631156,ST!NG3R,beastcoast,Support,Hard Support,13.8130552037328,14.9227653040467,12.8338992328676
157989498,Scofield:KAT,beastcoast,Support,Soft Support,11.9963266017187,13.25296149,10.8875311120588
95825708,MNZ,Thunder Predator,Core,Carry,12.9341462995312,17.5489171623077,9.77667149868421
407321629,Frank,Thunder Predator,Core,Off,9.2988729796875,11.7980202476923,7.58893011210526
59463394,Leostyle-,Thunder Predator,Mid,Mid,14.9395864490625,18.6536946238462,12.39835454
186837494,Mjz,Thunder Predator,Support,Hard Support,9.35578351023437,10.5451602996154,8.54199939118421
349310876,MoOz,Thunder Predator,Support,Soft Support,12.6562363315625,14.3414164742308,11.5032183392105
97658618,Timado,Undying,Core,Carry,16.4402888416667,17.7620148255,12.6639288878571
126212866,SabeRLighT,Undying,Core,Off,10.801903308287,11.4763794115625,8.8748287275
238239590,Bryle,Undying,Mid,Mid,17.334167725463,18.651966490125,13.5690283978571
38628747,MoonMeander,Undying,Support,Soft Support,13.0189624588981,13.8869173675,10.5390912914643
145550466,DuBu,Undying,Support,Hard Support,16.5532291543519,16.9362974765,15.4587482339286
86822085,Costabile,SG esports,Core,Carry,15.804112468,20.6202540419048,11.5899885908333
117956848,tavo,SG esports,Core,Off,9.69411664366667,11.6280809011905,8.00189791833333
85937380,4dr,SG esports,Mid,Mid,14.5300077303333,16.4858882857143,12.818612244375
81306398,KJ,SG esports,Support,Hard Support,14.8959719771111,17.0615880590476,13.0010579054167
105045291,Thiolicor,SG esports,Support,Soft Support,12.7166195725556,13.9892028654762,11.60310919125
88271237,Ceb,OG,Core,Off,11.7897852081915,12.4647177832,11.0228163729545
111620041,SumaiL,OG,Core,Carry,16.6672690343966,19.5761959516129,13.3273899812963
94054712,Topson,OG,Mid,Mid,14.50411368,15.8709950006,13.0183731141304
19672354,N0tail,OG,Support,Hard Support,14.9939850375,16.0855097968,13.8075450817391
103735745,Saksa,OG,Support,Soft Support,15.4056171484375,16.7161351364,13.9811410745652
302214028,Collapse,Team Spirit,Core,Off,11.5842991809669,12.6422286379188,9.52004658203658
321580662,Yatoro,Team Spirit,Core,Carry,16.2158358799174,18.6129462825625,11.5385472893902
431770905,TORONTOTOKYO,Team Spirit,Mid,Mid,16.5705451243802,18.1765707710625,13.4368365454878
113331514,Miposhka,Team Spirit,Support,Hard Support,14.472578122438,15.1796905854375,13.0928464873171
256156323,Mira,Team Spirit,Support,Soft Support,13.7761093003306,14.247002376875,12.8572935412195
137193239,eurus,Elephant,Core,Carry,14.0142146472472,16.0505765915217,11.8357809394186
139937922,Yang,Elephant,Core,Off,10.3142158926966,11.4346471881522,9.11561497197674
106863163,Somnus,Elephant,Mid,Mid,15.771804375464,17.902679482963,13.4922635627907
90882159,Super!,Elephant,Support,Hard Support,13.2389938017978,13.7900187286957,12.6495252753488
101695162,fy,Elephant,Support,Soft Support,14.0333656647753,14.4165043822826,13.6234963390698
99983413,Deth,Fnatic,Core,Off,9.8837165425,10.2441046319231,9.41521202625
132309493,Raven,Fnatic,Core,Carry,16.4885829436154,19.7531003427143,12.6799793113333
113435203,ChYuaN,Fnatic,Mid,Mid,14.3741392422308,15.8156968958571,12.6923219796667
100471531,jabz,Fnatic,Support,Soft Support,12.5695856376154,13.361944258,11.6451672471667
102099826,DJ,Fnatic,Support,Hard Support,16.0230306093692,17.1103648315714,14.7544740168
